epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07232,2.1816,26.1313,0.77889,0.11776,0.59938,0.09195,0.04224,0.01453,2.14162,97.5448,1.6789,0.05522,0.000466704,0.000466704,0.0834667
2,13.7441,1.9118,21.0455,0.82317,0.05727,0.05301,0.38257,0.06478,0.02085,2.01448,35.9155,1.43581,0.05032,0.000953891,0.000953891,0.0659539
3,19.4513,1.87925,19.3693,0.778,0.0582,0.17969,0.17494,0.08569,0.02906,2.27693,28.7261,1.64889,0.05266,0.00143391,0.00143391,0.0484339
4,25.1446,1.83744,18.8297,0.72119,0.05147,0.1722,0.17669,0.10592,0.03843,1.97224,22.4281,1.57443,0.0419,0.00190675,0.00190675,0.0309068
5,30.7674,1.8071,17.3106,0.77147,0.04306,0.22157,0.26362,0.11233,0.05129,2.16402,18.3221,1.68578,0.0374,0.00237243,0.00237243,0.0133724
6,36.4516,1.85886,17.2639,0.80327,0.04631,0.23549,0.17559,0.13267,0.07069,2.08541,18.9471,1.38228,0.04738,0.00264573,0.00264573,0.00264573
7,42.0597,1.86857,16.9334,0.79821,0.05312,0.20684,0.16754,0.10044,0.04592,2.22376,23.8295,1.57322,0.03575,0.00262582,0.00262582,0.00262582
8,47.5411,1.86814,16.6669,0.7973,0.0533,0.31082,0.27778,0.2132,0.09221,2.09132,16.3585,1.58253,0.0476,0.0026059,0.0026059,0.0026059
9,53.0294,1.89981,16.1016,0.79984,0.05001,0.20123,0.20871,0.12135,0.04226,2.58621,19.7223,1.54148,0.05689,0.00258598,0.00258598,0.00258598
10,58.6939,1.85741,16.332,0.84224,0.04683,0.21997,0.25708,0.16801,0.0649,2.35516,17.2078,1.38097,0.0541,0.00256607,0.00256607,0.00256607
11,64.2889,1.86272,16.0458,0.78428,0.0494,0.17568,0.28671,0.1063,0.0482,2.19221,18.4564,1.36402,0.03889,0.00254615,0.00254615,0.00254615
12,69.8875,1.71091,15.1561,0.78483,0.0417,0.30493,0.26013,0.20798,0.1028,2.15297,16.0664,1.37023,0.04188,0.00252623,0.00252623,0.00252623
13,75.398,1.79464,15.403,0.73033,0.0526,0.43624,0.32658,0.29086,0.15035,2.04306,15.5914,1.34061,0.04012,0.00250632,0.00250632,0.00250632
14,80.8841,1.79909,14.9732,0.763,0.04597,0.34912,0.34423,0.28392,0.12412,1.93087,15.7668,1.44059,0.03952,0.0024864,0.0024864,0.0024864
15,86.3586,1.73497,15.2589,0.83678,0.04512,0.3581,0.30806,0.22652,0.12702,1.96791,15.3452,1.34853,0.05086,0.00246648,0.00246648,0.00246648
16,91.8503,1.74535,14.743,0.77443,0.04454,0.23912,0.28148,0.17883,0.08924,2.04751,17.327,1.27792,0.04509,0.00244656,0.00244656,0.00244656
17,97.3447,1.8387,14.7803,0.76637,0.04573,0.28362,0.28192,0.19697,0.10979,1.98311,16.7492,1.37732,0.04313,0.00242665,0.00242665,0.00242665
18,103.02,1.79549,14.6367,0.75089,0.04708,0.36746,0.27712,0.2364,0.12472,2.03989,16.0003,1.34125,0.03501,0.00240673,0.00240673,0.00240673
19,108.539,1.7827,14.2043,0.77319,0.04421,0.38532,0.31983,0.24523,0.10951,1.98399,16.51,1.46623,0.03503,0.00238681,0.00238681,0.00238681
20,114.194,1.74428,13.9501,0.74751,0.04513,0.46214,0.30458,0.26291,0.14754,2.03328,15.7875,1.30032,0.04531,0.0023669,0.0023669,0.0023669
21,119.668,1.77258,14.0334,0.78266,0.0375,0.27545,0.25534,0.20097,0.1053,1.93124,20.0015,1.38332,0.04793,0.00234698,0.00234698,0.00234698
22,125.086,1.77476,14.056,0.78301,0.04226,0.28265,0.24863,0.15608,0.07807,1.90451,16.5098,1.42882,0.03774,0.00232706,0.00232706,0.00232706
23,130.408,1.7654,13.866,0.74752,0.04357,0.50402,0.32963,0.33187,0.18266,2.01279,15.4027,1.4068,0.04821,0.00230714,0.00230714,0.00230714
